ignore if not empty;modname;modurl;dependencies;Tags;Modpack;Notes;edited;moddesc;ModDB URL;Forum URL;imported
;weather;https://github.com/theFox6/minetest_mod_weather;;;;;;[Weather] A weather mod for minetest.;https://content.minetest.net/packages/theFox/weather/;https://forum.minetest.net/viewtopic.php?t=5245;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;nuke;;default ;;;;;[Nuke Mod] Additional types of TNT for all your explosive needs.;https://content.minetest.net/packages/sfan5/nuke/;https://forum.minetest.net/viewtopic.php?t=638;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;unified_inventory;https://github.com/minetest-mods/unified_inventory;default ;inventory api ui;;;x;[Unified Inventory] Replaces the default inventory and adds a number of features, such as a crafting guide;https://content.minetest.net/packages/RealBadAngel/unified_inventory/;https://forum.minetest.net/viewtopic.php?t=12767;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;xdecor;https://github.com/minetest-mods/xdecor;default bucket doors xpanes stairs ;;;;;[X-Decor] A decoration mod meant to be simple and well-featured.;https://content.minetest.net/packages/jp/xdecor/;https://forum.minetest.net/viewtopic.php?t=12534;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;travelnet;https://github.com/Sokomine/travelnet;;;;;;[Travelnet] Network of teleporter-boxes that allow easy travelling to other boxes on the same network.;https://content.minetest.net/packages/Sokomine/travelnet/;https://forum.minetest.net/viewtopic.php?t=4877;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;ethereal;https://notabug.org/tenplus1/ethereal;default stairs flowers doors ;;;;;[Ethereal NG] Ethereal mod uses the v7 mapgen to add many new biomes to the world.;https://content.minetest.net/packages/TenPlus1/ethereal/;https://forum.minetest.net/viewtopic.php?t=14638;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;food;https://github.com/rubenwardy/food;;;;;;[Food] Adds soups, cakes, bakes, and more;https://content.minetest.net/packages/rubenwardy/food/;https://forum.minetest.net/viewtopic.php?t=2960;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;nssm;https://github.com/NPXcoot/nssm;mobs tnt fire default ;;;;;[Not So Simple Mobs] Introduces more complex mobs into the game, for the purpose of increasing the difficulty of playing.;https://content.minetest.net/packages/npx/nssm/;https://forum.minetest.net/viewtopic.php?t=11813;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mg;https://github.com/minetest-mods/mg;default wool farming stairs ;;;;;[Experiemental Villages Mapgen] Changes the way ores are placed, add new biomes and villages.;https://content.minetest.net/packages/Nore/mg/;https://forum.minetest.net/viewtopic.php?t=7263;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;aliveai;https://github.com/AiTechEye/aliveai;default ;;;;;[Alive AI] Advanced survivor ai mobs (npc, monsters and more);https://content.minetest.net/packages/AiTechEye/aliveai/;https://forum.minetest.net/viewtopic.php?t=16083;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;unifieddyes;https://gitlab.com/VanessaE/unifieddyes;default dye ;;;;;[Unified Dyes] Unified Dyes expands the standard dye set from 15 to up to 256 colors (depending on the object to be colored);https://content.minetest.net/packages/VanessaE/unifieddyes/;https://forum.minetest.net/viewtopic.php?t=2178;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;simple_skins;https://notabug.org/tenplus1/simple_skins;default ;;;;;[Simple Skins] Mod that allows players to set their individual skins.;https://content.minetest.net/packages/TenPlus1/simple_skins/;https://forum.minetest.net/viewtopic.php?t=9100;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;wildlife;https://github.com/TheTermos/wildlife;mobkit ;;;;;[Wildlife] Adds some wild animals that interact with each other.;https://content.minetest.net/packages/Termos/wildlife/;https://forum.minetest.net/viewtopic.php?t=22112;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;awards;https://github.com/rubenwardy/awards;;;;;;[Awards] Adds achievements;https://content.minetest.net/packages/rubenwardy/awards/;https://forum.minetest.net/viewtopic.php?t=4870;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;hudbars;http://repo.or.cz/minetest_hudbars.git;;;;;;[HUD bars] Replaces the default health and breath symbols by horizontal colored bars with text showing the number. Extensible.;https://content.minetest.net/packages/Wuzzy/hudbars/;https://forum.minetest.net/viewtopic.php?t=11153;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;basic_materials;https://gitlab.com/VanessaE/basic_materials.git;default ;;;;;"[Basic Materials and items] Provides a small selection of ""basic"" materials and items that other mods should use when possible -- things like steel bars and chains, wire, plastic strips and sheets, and more.";https://content.minetest.net/packages/VanessaE/basic_materials/;https://forum.minetest.net/viewtopic.php?t=21000;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;shooter;https://github.com/stujones11/shooter;default dye tnt wool ;;;;;[Simple Shooter] First person shooter mod.;https://content.minetest.net/packages/stu/shooter/;https://forum.minetest.net/viewtopic.php?t=7846;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;castle;https://github.com/minetest-mods/castle;;;;;;[Castles++] This is a modpack all about creating castles and castle dungeons.;https://content.minetest.net/packages/philipbenr/castle/;https://forum.minetest.net/viewtopic.php?t=9894;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;caverealms;https://github.com/HeroOfTheWinds/minetest-caverealms;default ;;;;;[Caverealms] A mod for Minetest to add underground realms.;https://content.minetest.net/packages/HeroOfTheWinds/caverealms/;https://forum.minetest.net/viewtopic.php?t=9522;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mobs_humans;https://github.com/h4ml3t/mobs_humans;default mobs ;;;;;[Mobs Humans] Adds humans.;https://content.minetest.net/packages/Hamlet/mobs_humans/;https://forum.minetest.net/viewtopic.php?t=20183;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;protector;https://notabug.org/tenplus1/protector;default ;;;;;[Protector Redo] Lets players craft special blocks to protect their builds or disable PVP in areas.;https://content.minetest.net/packages/TenPlus1/protector/;https://forum.minetest.net/viewtopic.php?t=9376;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;laptop;https://github.com/Gerold55/minetest-laptop;default ;;;;;[Laptop] Adds laptops/computers to your MT world. ;https://content.minetest.net/packages/GamingAssociation39/laptop/;https://forum.minetest.net/viewtopic.php?t=17910;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;rangedweapons;;default moreores ;;;;;[Ranged Weapons] Adds some guns and throwable weapons.;https://content.minetest.net/packages/davidthecreator/rangedweapons/;https://forum.minetest.net/viewtopic.php?t=15173;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;quartz;https://github.com/minetest-mods/quartz;default stairs ;;;;;[Quartz] Adds quartz ore and some decorative quartz blocks;https://content.minetest.net/packages/Evergreen/quartz/;https://forum.minetest.net/viewtopic.php?t=5682;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;areas;https://github.com/ShadowNinja/areas;;;;;;[Areas] Areas is a advanced area protection mod based on node_ownership.;https://content.minetest.net/packages/ShadowNinja/areas/;https://forum.minetest.net/viewtopic.php?t=7239;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;cottages;https://github.com/Sokomine/cottages;farming default ;;;;;[Cottages] Build medieval cottages with furniture, window shutters and roofs, thresh your wheat, repair your tools.;https://content.minetest.net/packages/Sokomine/cottages/;https://forum.minetest.net/viewtopic.php?t=5120;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;bows;https://github.com/AiTechEye/bows;default ;;;;;[Bows] A easy bow mod with arrows;https://content.minetest.net/packages/AiTechEye/bows/;https://forum.minetest.net/viewtopic.php?t=14384;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;digilines;https://github.com/minetest-mods/digilines;default ;;;;;[Digilines] This mod adds digiline wires, an RTC (Real Time Clock), a light sensor as well as an LCD Screen.;https://content.minetest.net/packages/Jeija/digilines/;https://forum.minetest.net/viewtopic.php?t=5263;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mobf_trader;https://github.com/Sokomine/mobf_trader;;;;;;[Traders] Configurable mobs/NPC which can trade for you.;https://content.minetest.net/packages/Sokomine/mobf_trader/;https://forum.minetest.net/viewtopic.php?t=9013;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;boost_cart;https://github.com/SmallJoker/boost_cart;default ;;;;;[Boost Cart] This mod offers improved minecarts and a few more rail types.;https://content.minetest.net/packages/Krock/boost_cart/;https://forum.minetest.net/viewtopic.php?t=10172;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;lucky_block;https://notabug.org/tenplus1/lucky_block;default ;;;;;[Lucky Block] Adds lucky blocks into the game which may give good, bad, hurtful items when open :);https://content.minetest.net/packages/TenPlus1/lucky_block/;https://forum.minetest.net/viewtopic.php?t=13284;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;water_life;https://github.com/berengma/water_life;mobkit ;;;;;[Water Life] new mobs for your river and sea water;https://content.minetest.net/packages/Gundul/water_life/;https://forum.minetest.net/viewtopic.php?t=23436;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;working_villages;https://github.com/theFox6/working_villages;default ;;;;;[Working villages] A mod adding villager NPCs that are doing predefined work.;https://content.minetest.net/packages/theFox/working_villages/;https://forum.minetest.net/viewtopic.php?t=17429;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;snowdrift;https://github.com/paramat/snowdrift;default ;;;;;[Snowdrift] Light-weight weather mod  with snow, rain, and clouds.;https://content.minetest.net/packages/paramat/snowdrift/;https://forum.minetest.net/viewtopic.php?t=6854;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mobkit;https://github.com/TheTermos/mobkit;;;;;;[Mobkit] Entity API;https://content.minetest.net/packages/Termos/mobkit/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;cannons;https://bitbucket.org/kingarthursteam/cannons/;default bucket ;;;;;[Cannons] Adds Cannons. Insert muni and gunpowder, and punch it with a torch. The muni can destroy nodes and hurts players.;https://content.minetest.net/packages/addi/cannons/;https://forum.minetest.net/viewtopic.php?t=7744;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;crops;https://github.com/minetest-mods/crops;default farming ;;;;;[Crops] This mod expands the basic set of farming-related crops that minetest_game offers.;https://content.minetest.net/packages/sofar/crops/;https://forum.minetest.net/viewtopic.php?t=11795;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;hbhunger;http://repo.or.cz/minetest_hbhunger.git;hudbars ;;;;;[Hunger with HUD bar] This mod adds a simple hunger mechanic (plus HUD bar) to the game. Eat food to avoid starvation, be sated to regenerate health.;https://content.minetest.net/packages/Wuzzy/hbhunger/;https://forum.minetest.net/viewtopic.php?t=11336;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;skinsdb;https://github.com/minetest-mods/skinsdb;default ;;;;;[SkinsDB] Custom player skins manager with support for 1.0 and 1.8er skins and inventory skins selector;https://content.minetest.net/packages/bell07/skinsdb/;https://forum.minetest.net/viewtopic.php?t=17899;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;watershed;https://github.com/paramat/watershed;default bucket stairs ;;;;;[Watershed] A river / mountain range mapgen;https://content.minetest.net/packages/paramat/watershed/;https://forum.minetest.net/viewtopic.php?t=8609;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;valleys_mapgen;https://github.com/Gael-de-Sailly/valleys_mapgen;flowers default ;;;;;[Valleys Mapgen] A map generator with valleys, rivers, mountains and many plants.;https://content.minetest.net/packages/Gael de Sailly/valleys_mapgen/;https://forum.minetest.net/viewtopic.php?t=11430;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;biome_lib;https://gitlab.com/VanessaE/biome_lib;default ;;;;;[Biome Lib] The biome spawning and management library.;https://content.minetest.net/packages/VanessaE/biome_lib/;https://forum.minetest.net/viewtopic.php?t=12999;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mydoors;https://github.com/minetest-mods/mydoors;default doors wool ;;;;;[Mydoors] Adds several different style doors.;https://content.minetest.net/packages/Don/mydoors/;https://forum.minetest.net/viewtopic.php?t=10626;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;digtron;https://github.com/FaceDeer/digtron;default ;;;;;[Digtron] Adds components for building modular tunnel boring machines;https://content.minetest.net/packages/FaceDeer/digtron/;https://forum.minetest.net/viewtopic.php?t=16295;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;intllib;https://github.com/minetest-mods/intllib;;;;;;[Intllib] Internationalization library.;https://content.minetest.net/packages/kaeza/intllib/;https://forum.minetest.net/viewtopic.php?t=4929;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;maptools;https://github.com/calinou/maptools;default ;;;;;[Maptools] Adds various special versions of normal blocks, tools, and other map maintainer tools.;https://content.minetest.net/packages/Calinou/maptools/;https://forum.minetest.net/viewtopic.php?t=1882;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;signs_lib;https://gitlab.com/VanessaE/signs_lib.git;default basic_materials ;;;;;[Signs Lib] Adds signs with readable text.;https://content.minetest.net/packages/VanessaE/signs_lib/;https://forum.minetest.net/viewtopic.php?t=13762;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;stained_glass;https://github.com/andersje/stained_glass;unifieddyes default moreblocks ;;;;;[Stained Glass] Adds various stained glass blocks, originally by doyousketch2;https://content.minetest.net/packages/andersje/stained_glass/;https://forum.minetest.net/viewtopic.php?t=4904;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;techpack;https://github.com/joe7575/techpack;default tubelib2 basic_materials bucket doors ;;;;;[TechPack] A Mining, Crafting, & Farming Modpack for Minetest;https://content.minetest.net/packages/joe7575/techpack/;https://forum.minetest.net/viewtopic.php?t=19784;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;xocean;https://github.com/starninjas/xocean;default ;;;;;[Ocean] Adds coral reefs, fish, decorative ocean blocks and much more!;https://content.minetest.net/packages/StarNinjas/xocean/;https://forum.minetest.net/viewtopic.php?t=22373;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;basic_machines;https://github.com/ac-minetest/basic_machines;default ;;;;;[Basic Machines] Lightweight minetest automation mod/logic/electronics building.;https://content.minetest.net/packages/rnd/basic_machines/;https://forum.minetest.net/viewtopic.php?t=12033;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;portalgun;https://github.com/AiTechEye/portalgun;default ;;;;;[Portal gun] Portals and stuff;https://content.minetest.net/packages/AiTechEye/portalgun/;https://forum.minetest.net/viewtopic.php?t=12772;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;lightning;https://github.com/minetest-mods/lightning;;;;;;[Lightning] A mod that adds thunder and lightning effects.;https://content.minetest.net/packages/sofar/lightning/;https://forum.minetest.net/viewtopic.php?t=13886;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;flexrealm;https://github.com/paramat/flexrealm;default flowers ;;;;;[Universal geometry realm] Create worlds of varying shapes;https://content.minetest.net/packages/paramat/flexrealm/;https://forum.minetest.net/viewtopic.php?t=7887;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mob_horse;https://notabug.org/TenPlus1/mob_horse;mobs ;;;;;[Mob Horse] Adds rideable horse;https://content.minetest.net/packages/TenPlus1/mob_horse/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;toolranks;https://github.com/lisacvuk/minetest-toolranks;default ;;;;;[Tool Ranks] Counts the number of nodes a specific tool has dug;https://content.minetest.net/packages/lisacvuk/toolranks/;https://forum.minetest.net/viewtopic.php?t=18056;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;item_drop;https://github.com/minetest-mods/item_drop;;;;;;[Item Drop] This mod adds Minecraft like drop/pick up of items to Minetest.;https://content.minetest.net/packages/texmex/item_drop/;https://forum.minetest.net/viewtopic.php?t=16913;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;ma_pops_furniture;https://github.com/Gerold55/ma_pops_furniture;default fire ;;;;;[Ma & Pop's Furniture Mod] This mod adds in functional furniture.;https://content.minetest.net/packages/GamingAssociation39/ma_pops_furniture/;https://forum.minetest.net/viewtopic.php?t=17421;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;bonemeal;https://notabug.org/tenplus1/bonemeal;default ;;;;;[Bonemeal] Adds bone and bonemeal giving the ability to quickly grow plants and saplings.;https://content.minetest.net/packages/TenPlus1/bonemeal/;https://forum.minetest.net/viewtopic.php?t=16446;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mesecar;https://github.com/paramat/mesecar;dye wool default ;;;;;[Mesecar] Adds 4 styles of microcar: Car55, Nyancart, Mesecar and Oerkka.;https://content.minetest.net/packages/paramat/mesecar/;https://forum.minetest.net/viewtopic.php?t=7967;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;nether_mobs;https://github.com/rael5/minetest-nether-monsters;default mobs nether stairs ;;;;;[Nether Mobs] Add monsters and dragons to your nether world.;https://content.minetest.net/packages/rael5/nether_mobs/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;wield3d;https://github.com/stujones11/wield3d;default ;;;;;[Wield3D] See the items other players are holding;https://content.minetest.net/packages/stu/wield3d/;https://forum.minetest.net/viewtopic.php?t=6407;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;hangglider;https://notabug.org/Piezo_/minetest-hangglider;wool default ;;;;;[Hang-Gliders] Fly around with fully functional hang-gliders!;https://content.minetest.net/packages/Piezo_/hangglider/;https://forum.minetest.net/viewtopic.php?t=21425;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;locks;https://github.com/Sokomine/locks;default ;;;;;[Locks] Shared chests, doors, furnaces and signs - with keys;https://content.minetest.net/packages/Sokomine/locks/;https://forum.minetest.net/viewtopic.php?t=3653;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;enchanting;https://github.com/minetest-mods/enchanting;default ;;;;;[Enchanting] Adds a Minecraft-inspired Enchantment Table;https://content.minetest.net/packages/jp/enchanting/;https://forum.minetest.net/viewtopic.php?t=14087;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;gloopblocks;https://gitlab.com/VanessaE/gloopblocks;default ;;;;;"[Gloop Blocks] Adds decorative and functional blocks, including cement, rainbow blocks, ""evil"" blocks, and tools.";https://content.minetest.net/packages/VanessaE/gloopblocks/;https://forum.minetest.net/viewtopic.php?t=4019;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;sumpf;https://github.com/HybridDog/sumpf;default riesenpilz stairs ;;;;;[Swamps] Adds swamps;https://content.minetest.net/packages/Hybrid Dog/sumpf/;https://forum.minetest.net/viewtopic.php?t=3616;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;sailing_kit;https://github.com/TheTermos/sailing_kit;default mobkit ;;;;;[Sailing Kit] Adds a craftable sailboat;https://content.minetest.net/packages/Termos/sailing_kit/;https://forum.minetest.net/viewtopic.php?t=23520;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;luxury_decor;https://github.com/Andrey2470T/luxury_decor;default ;;;;;[Luxury Decor] This mod has a goal to add large amount of luxurious various furniture elements, decorations and exterior stuff.;https://content.minetest.net/packages/Andrey01/luxury_decor/;https://forum.minetest.net/viewtopic.php?t=22364;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;classes;https://github.com/stujones11/minetest-classes;default ;;;;;[Player Classes] Playable character classes, currently include human, dwarf and elf.;https://content.minetest.net/packages/stu/classes/;https://forum.minetest.net/viewtopic.php?t=5119;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;airsword;;;;;;;[Air Sword [airsword]] Adds the legendary air sword!;https://content.minetest.net/packages/PilzAdam/airsword/;https://forum.minetest.net/viewtopic.php?t=9062;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;bike;https://gitlab.com/h2mm/bike/;dye default ;;;;;[Bike] Adds a rideable bike with animations and extensive colors.;https://content.minetest.net/packages/Hume2/bike/;https://forum.minetest.net/viewtopic.php?t=20726;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
